Disease,Title,Abstract,NCT_ID
Breast Cancer,Positron Emission Tomography in Monitoring Treatment Response in Women With Newly Diagnosed Breast Cancer, This study will investigate the sensitivity and specificity of FLT-PET/CT in primary breast cancer detection and in the use of FLT-PET in monitoring how well a breast tumor respond to treatment. We will compare this technique with other imaging modalities as well as with tissue collection (during a biopsy). We will recruit women with a newly diagnosed invasive breast cancer who are able to tolerate undergoing a PET/CT (possibly two scans) scan    ,NCT01018251
Breast Cancer,Study of AZD2014 and Palbociclib in Patients With Estrogen Receptor Positive (ER+) Metastatic Breast Cancer, This dose finding/extension study consists of three parts: Part A will identify the MTD of the AZD2014/palbociclib combination on a background of fulvestrant (referred to as the triplet) in postmenopausal women with locally advanced/metastatic estrogen receptor positive (ER+) breast cancer. Part B will further characterize safety tolerability PK and preliminary efficacy in single-arm dose expansion groups. Part C will investigate the efficacy of the triplet combination in a double-blind placebo-controlled stratified parallel group extension.    ,NCT02599714
Breast Cancer,Safety and Efficacy Study of Enzalutamide in Patients With Advanced Androgen Receptor-Positive Triple Negative Breast Cancer, The purpose of this study is to determine if enzalutamide is safe and effective in the treatment of patients with advanced breast cancer that express the androgen receptor but do not express the estrogen or progesterone receptor and are not Her2 amplified.    ,NCT01889238
Breast Cancer,A Notch Signalling Pathway Inhibitor for Patients With Advanced Breast Cancer (0752-014), An investigational study to determine the safety/tolerability and efficacy of a notch signaling pathway inhibitor in patients with metastatic or locally advanced breast cancer and other advanced solid tumors.    ,NCT00106145
Breast Cancer,A Clinical Trial to Compare Efficacy and Tolerability of Fulvestrant 250mg 250mg (Plus 250mg Loading Regimen) and 500mg, This study will assess the relationship between fulvestrant dose and efficacy and determine the dosing regimen as a second line therapy for Japanese postmenopausal women with oestrogen receptor positive advanced breast cancer.    ,NCT00305448
Breast Cancer,A Clinical Trial to Compare Efficacy and Tolerability of Fulvestrant 250mg 250mg Plus 250mg Loading Regimen and 500mg, This study will assess the relationship between fulvestrant dose and efficacy in postmenopausal women with oestrogen receptor positive advanced breast cancer.    ,NCT00313170
Breast Cancer,Study of Zoladex Given Every 12 Weeks Versus Given Every Month in Advanced Breast Cancer (ABC) Pre-menopausal Women, The primary objective is to evaluate whether Zoladex 10.8 mg (12-weekly) is non-inferior to Zoladex 3.6 mg (4-weekly) in pre-menopausal women with oestrogen receptor positive advanced breast cancer by assessment of progression-free survival at 24 weeks. Secondary Objectives are to compare the safety and tolerability profile of ZOLADEX 10.8 mg and ZOLADEX 3.6 mg by assessment of adverse events (AEs)and to assess goserelin PK in Japanese and Caucasian participants who have received ZOLADEX 10.8 mg by assessment of goserelin plasma concentration time profiles Recruitment into the study has been permanently stopped as of 24 December 2007 due to slow recruitment. 98 (vs the planned 260) patients were randomised into the study and will be followed as per protocol for 2 years    ,NCT00322348
Breast Cancer,Faslodex Advanced Breast Cancer Local Chinese Study, This study will evaluate the efficacy and safety of Faslodex as secondary-line treatment compared with Arimidex in oestrogen receptor positive postmenopausal advanced breast cancer.    ,NCT00327769
Breast Cancer,Faslodex 500mg Multiple Dose Tolerability Study in BC Patients, The primary objective of this study is to assess the tolerability of 500mg fulvestrant in postmenopausal women with hormone receptor positive advanced or recurrent breast cancer    ,NCT00328120
Breast Cancer,Study of Larotaxel in Combination With Weekly Herceptin® in Patients With HER2 Positive Metastatic Breast Cancer, The purpose of this study is to evaluate the anti-tumor activity of the combination of experimental drug (larotaxel) when combined with Herceptin® in patients with advanced breast cancer. Anti-tumor activity will be determined by looking at changes in tumor size on CT or MRI scans. Additional goals of this study are to look at patient safety to determine how long the study drugs (larotaxel and Herceptin®) stay in the patient's body and what effects the study medications may have on each other and to find out how long patients remain cancer free on this study treatment.    ,NCT00387907
