Disease,Title,Abstract,NCT_ID
Healthy,A Non-inferiority Trial to Compare MVA-BN® Smallpox Vaccine to ACAM2000®, To demonstrate the efficacy of MVA-BN® by showing that vaccination prior to administration of ACAM2000® results in an attenuated take.    ,NCT01913353
Healthy,Evaluation of Antiplatelet Drug Resistance in Taiwanese With VASP & Platelet Mapping ??Assay, Currently drugs commonly used for antiplatelet are aspirin and clopidogrel when encountering stroke or coronary heart disease. In this study we would use VASP assay and thromboelastograph with platelet mapping assay kit to evaluate the antiplatelet resistance in general population and the relationship between clopidogrel and proton pump inhibitor.    ,NCT01023360
Healthy,TD-3504 SAD in Healthy Subjects and Subjects With Ulcerative Colitis (UC), This study is designed to evaluate the safety tolerability and pharmacokinetics (PK) of single-dose TD-3504 and single dose 15N2-tofacitinib in healthy subjects and subjects with UC. The relative bioavailability of tofacitinib released from TD-3504 compared to co-administered oral heavy-labeled tofacitinib (15N2-tofacitinib) will also be evaluated.    ,NCT03103412
Healthy,Evaluation of a Dry Powder Aerosol Dispersion Mechanism by Radiolabeling Techniques, The primary objective is to admix a radiolabel with albuterol sulphate for incorporation into the Handihaler® device for inhalation studies. This will allow for the investigators to determine the regional lung deposition of drug inhaled from the standard Handihaler® device compared to a novel modification of the device to provide more effective dispersion and aerosolization of the coated albuterol powder. The new mechanism of action for proof-of-concept testing consists of a bead (5.1 mm; expanded polystyrene foam) coated with drug powder as opposed to the standard lactose formulation-filled capsule.    ,NCT01495442
Healthy,Open Label Phase 1 Pharmacokinetics and Tolerability Study of Single TAB08 Administration in Healthy Volunteers, The purpose of this study is to assess safety and tolerability of ascending dosed of TAB08 after single i.v. infusion to the adult healthy volunteers. Additionally were assessed infusion speed tolerability pharmacokinetics and pharmacodynamics of TAB08 after single i.v. infusion and to explore TAB mechanism-of-action biomarkers.    ,NCT01885624
Healthy,Effects of Daily Almond Intake as a Preload Before Meals Versus as a Snack Among Korean Adults, The study was conducted to investigate the effects of daily almond intake based on the timing of almond consumption (i.e. almond consumption as a preload or between-meal snack) on body composition lipid profile and oxidative and inflammation indicators among young Korean adults.    ,NCT03014531
Healthy,Dairy Intake and Brain Health in Aging, The purpose of this study is to learn if dairy food consumption may help brain health in aging by protecting nerve cells from oxidative damage.    ,NCT02245035
Healthy,Evaluation of [11C]RO6924963 [11C]RO6931643 and [18F]RO6958948 as Tracers for Positron Emission Tomography (PET) Imaging of Tau in Healthy and Alzheimer's Disease (AD) Participants, This study is designed to obtain basic information on three PET imaging tracers developed to detect tau pathology in the brain. In this study healthy control participants and participants with AD will be studied. Information collected will include brain and plasma kinetics tissue distribution (in the brain) radiation dosimetry and test-retest variability of the signal in the brain. The study will consist of Part 1 Part 2A and Part 2B. During Part 1 imaging data will be assessed on an ongoing basis and based on data one tracer will be prioritized over the other two tracers. The tracer selected will be further investigated in Part 2A and Part 2B.    ,NCT02187627
Healthy,Gas Kinetics and Metabolism in Anesthesia During Non Steady State, During clinical anesthesia it is astonishing that CO2 monitoring consists mainly of end-tidal PCO2 to confirm endotracheal intubation and to estimate ventilation and O2 monitoring consists of a single PO2 measurement to detect a hypoxic gas mixture. Better understanding of how O2 and CO2 kinetics monitoring can define systems pathophysiology will greatly enhance safety in anesthesia by detecting critical events such as abrupt decrease in cardiac output (Q.T) by vena-caval compression during abdominal surgery occurrence of CO2 pulmonary embolism during laparoscopy rising tissue O2 consumption (V.O2) during light anesthesia and onset of anaerobic metabolism (V.CO2 is disproportionately higher than V.O2).    ,NCT00225381
Healthy,Wellderly Immune Antibodies Study a Sub-Study of Healthy Elderly Active Longevity (HEAL) Cohort, The aim of this sub-study is to determine whether healthy individuals over 90 years of age possess immune cells that are involved in protection from chronic disease. The immune system is well known to produce anti-cancer and other immune cells called antibodies that can be beneficial to our health. In this study the investigators will evaluate the immune status of the healthy individuals over 90 years of age. The investigators will be focused on studying molecules known to be involved in cholesterol cancer like those for prostate cancer and breast cancer inflammatory diseases and infectious diseases like influenza.    ,NCT01816880
