Disease,Title,Abstract,NCT_ID
HIV,Correlation Between Cytokines and Hepatic Histology in Patients Infected by HIV-1 and the Hepatitis-C Virus, This study aims at correlating TNF-α INF-γ IL-2 IL-4 IL-10 and TGF-β values as dosed by ELISA and mRNA expression by real-time PCR with histopathological hepatic biopsy findings in individuals with HIV/HCV coinfection. This population will be divided into three groups (G1: with no HAART; G2: with detected HIV viral load (HIV VL); G3: with undetected HIV VL) which will be then compared to two control groups with monoinfection by HIV or by HCV in addition to a third control group comprising normal blood donors.    ,NCT00499434
HIV,Immune Reconstitution of Lopinavir/Ritonavir-Based vs Efavirenz-based HAART in Advanced HIV Disease, The ideal anti-HIV medications for patients with advanced HIV disease is unknown. There is evidence that anti-HIV regimens that contain protease inhibitors can enhance immune function better than regimens that do not contain protease inhibitors. This is a study that will determine the difference in immune enhancement capabilities between an anti-HIV regimen that contains the protease inhibitor - lopinavir-ritonavir and a regimen that contains efavirenz. Both medications are recommended as first line treatments for HIV-infected patients. This study will recruit HIV-positive patients that need to start anti-HIV treatment because their CD4+ T-cells are below 200. The usual threshold for starting treatment is a CD4+ T-cell less than 350. Subjects will be randomized to treatment with either an anti-HIV regimen that contains lopinavir-ritonavir or a regimen that contains efavirenz. The study will determine the difference in immune reconstitution over 24 weeks of treatment with study medications. Among the immune parameters that will be measured is the ability of each subject to respond to vaccination with the tetanus-diphtheria vaccine and the 23-valent pneumococcal vaccine. Both vaccines are also recommended for HIV-positive patients but HIV-positive patients tend to have a lower response rate to these vaccines.    ,NCT00775606
HIV,Pilot Study of a Raltegravir Based NRTI Sparing Regimen, This pilot study will provide data on the safety and efficacy of the combination of Raltegravir (RAL) 400mg BID + Atazanavir (ATV) 300 mg BID in Antiretroviral (ARV)-experienced subjects that have a suppressed HIV viral load on a Ritonavir (RTV) boosted Protease Inhibitor (PI) based regimen who are then switched to a regimen of RAL 400mg BID +ATV 300mg BID.    ,NCT00814879
HIV,Study on the Antiviral Therapy and Immune Reconstitution of Chinese HIV/AIDS Patients, This study will recruit 520 treatment-naive and 150 treatment-experienced patients to take the first line or second line of antiviral therapy. This study aims to set up a well-trained clinical and laboratory team in China to explore the effects and side-effects of the first-line and the second line of ARV treatment in Chinese HIV/AIDS adult patients to investigate the side-effects of ARV drugs such as hepatotoxicity lipoatrophy cardiovascular influence to explore the pharmacokinetics/pharmacodynamics (PK/PD) of Chinese generic ARV regiments and effective drug concentrations and to explore primary and secondary drug resistance in China and the immune reconstitution characters of long term ARV in Chinese adult AIDS patients. This study might provide more practical and optimizing prove for the treatment guideline for resource limited areas.    ,NCT00872417
HIV,A Post Marketing Survey Study to Evaluate the Safety and Effectiveness of Prezista, The purpose of this study is to assess the safety data of darunavir in a natural clinical practice.    ,NCT01741831
HIV,A Post Marketing Survey Study to Evaluate the Safety and Effectiveness of Intelence, The purpose of this study is to assess the safety data of etravirine in a natural clinical practice.    ,NCT01741844
HIV,Dose Optimisation of Stavudine for the Treatment of HIV Infection, The purpose of this study is to demonstrate whether low dose stavudine (d4T) is non-inferior (in terms of both viral suppression and toxicity) to tenofovir (TDF) after 2 years of HIV treatment.    ,NCT02670772
HIV,Pharmacokinetics Safety and Antiviral Activity of the Elvitegravir/Cobicistat/Emtricitabine/Tenofovir Alafenamide (E/C/F/TAF) Single Tablet Regimen (STR) in HIV-1 Infected Antiretroviral Treatment-Naive Adolescents and Virologically Suppressed Children, There will be 2 cohorts in this study each consisting of Part A and Part B. The primary objectives of Cohort 1 are to evaluate the steady state pharmacokinetics (PK) for elvitegravir (EVG) and tenofovir alafenamide (TAF) and confirm the dose of the elvitegravir/cobicistat/emtricitabine/tenofovir alafenamide (E/C/F/TAF) single tablet regimen (STR) (Part A) and to evaluate the safety and tolerability of E/C/F/TAF STR through Week 24 (Part B) in HIV-1 infected antiretroviral (ARV) treatment-naive adolescents. The primary objectives of Cohort 2 are to evaluate the PK of EVG and TAF in virologically suppressed HIV-1 infected children 6 to < 12 years of age weighing ??25 kg administered E/C/F/TAF STR (Part A) and to evaluate the safety and tolerability of E/C/F/TAF STR through Week 24 in virologically suppressed HIV-1 infected children 6 to < 12 years of age weighing ??25 kg.    ,NCT01854775
HIV,Two Part Study to Evaluate Pharmacokinetics Safety and Antiviral Activity of Elvitegravir Administered With a PI/r Background Regimen for ARV Treatment-Experienced Pediatric Participants, This study will evaluate the steady-state pharmacokinetics (PK) and confirm the dose of ritonavir (RTV)-boosted elvitegravir (EVG/r). This study will also evaluate the safety tolerability and antiviral activity of elvitegravir (EVG) administered with a background regimen containing a ritonavir-boosted protease inhibitor (PI/r) in HIV-1 infected antiretroviral (ARV) treatment-experienced pediatric participants. The study consists of 2 parts: Part A and Part B. Part A will enroll participants with suppressed viremia (HIV-1 RNA < 50 copies/mL) or failing a current ARV regimen (HIV-1 RNA > 1000 copies/mL) to evaluate the steady state PK and confirm the dose of EVG. Part B will enroll participants who are failing a current ARV regimen (HIV-1 RNA > 1000 copies/mL) to evaluate the safety tolerability and antiviral activity of EVG.    ,NCT01923311
HIV,Pharmacokinetics Safety and Efficacy of Cobicistat-boosted Atazanavir or Cobicistat-boosted Darunavir in HIV-1 Infected Treatment-Experienced Virologically Suppressed Pediatric Subjects, The primary objectives of this study are to evaluate the steady-state pharmacokinetics (PK) and confirm the dose of cobicistat-boosted atazanavir (ATV/co) or cobicistat-boosted darunavir (DRV/co) in HIV-1 infected antiretroviral treatment-experienced virologically suppressed pediatric participants between the ages of 3 months to < 18 years of age. This study will also evaluate the safety tolerability and efficacy of ATV/co or DRV/co each co-administered with a background regimen (BR) through 48 weeks and during the 5 year long-term treatment. There will be 2 parts to the study.   -  Part A: Participants will be enrolled sequentially by age cohort to evaluate the steady state PK and confirm dose of ATV/co and DRV/co. Following screening enrolled participants will continue their suppressive regimen of either ATV/r or DRV/r once-daily plus their BR. On Day 1 participants will discontinue ritonavir and initiate once daily cobicistat (COBI) to be taken with their ATV or DRV plus their BR. All participants enrolled in Part A will participate in an intensive PK evaluation of COBI and ATV or DRV on Day 10. Following completion of the intensive PK visit participants will continue to receive COBI coadministered with DRV or ATV each with a BR and return for scheduled study visits.   -  Part B: Participants will be enrolled to evaluate the safety tolerability and efficacy of the ATV/co or DRV/co regimen. For all cohorts in Part B participants will be screened and initiated sequentially by each age cohort following confirmation of appropriate COBI exposure and PI exposures from the corresponding age cohort in Part A.    ,NCT02016924
