Disease,Title,Abstract,NCT_ID
Melanoma,Study of PX-866 and Vemurafenib in Patients With Advanced Melanoma, The purpose of the phase 1 portion of the study is to determine the maximally tolerated dose (MTD) or recommended dose (RD) and the safety/tolerability of PX-866 in combination vemurafenib in patients with any advanced BRAF-mutant cancer. The purpose of the phase 2 portion of the study is to compare progression free survival (PFS) antitumor activity (response rate) disease control rate (DCR) and the safety and tolerability of PX-866 in combination with vemurafenib vs. vemurafenib alone in patients with advanced BRAF-mutant melanoma at the doses recommended from Phase 1.    ,NCT01616199
Melanoma,AZD2171 in Treating Patients With Recurrent or Stage IV Melanoma, This phase II trial is studying how well AZD2171 works in treating patients with recurrent or stage IV melanoma. AZD2171 may stop the growth of tumor cells by blocking blood flow to the tumor and by blocking some of the enzymes needed for cell growth.    ,NCT00243061
Melanoma,Gamma-Secretase/Notch Signalling Pathway Inhibitor RO4929097 in Treating Patients With Stage IV Melanoma, This phase II trial is studying how well gamma-secretase/Notch signalling pathway inhibitor RO4929097 works in treating patients with stage IV melanoma. Gamma-secretase/Notch signalling pathway inhibitor RO4929097 may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.    ,NCT01120275
Melanoma,Imatinib Mesylate in Treating Patients With Stage III or Stage IV Melanoma That Cannot Be Removed by Surgery, This phase II trial is studying how well imatinib mesylate works in treating patients with stage III or stage IV melanoma that cannot be removed by surgery. Imatinib mesylate may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.    ,NCT00470470
Melanoma,A Biomarker Study in Advanced Mucosal or Acral Lentiginous Melanoma Receiving Nivolumab in Combination With Ipilimumab, Participants with advanced or metastatic mucosal melanoma (cohort A) and acral lentiginous melanoma (cohort B) eligible for treatment with nivolumab in combination with ipilimumab followed by nivolumab therapy will submit tissue blocks from tumors of malignant melanoma for histopathology review and immunohistochemistry analysis at Georgetown University-Lombardi Comprehensive Cancer Center. Pretreatment blood will be drawn and stored in the Melanoma Research Foundation Breakthrough Consortium Virtual Repository at each participating institution. At the end of participation samples will be sent to Georgetown University-Lombardi Comprehensive Cancer Center for processing and storage. An optional pretreatment biopsy of an accessible tumor lesion will be performed in a subset of enrolled patients. Patients will receive nivolumab in combination with ipilimumab according to the standard FDA approved treatment regimen.    ,NCT02978443
Melanoma,Dinaciclib in Treating Patients With Stage IV Melanoma, This phase II trial is studying the side effects and how well dinaciclib works in treating patients with stage IV melanoma. Dinaciclib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.    ,NCT00937937
Melanoma,Pembrolizumab in Advanced/Metastatic Acral Lentiginous Melanoma, To determine the Overall Response Rate (ORR) as defined as rate of complete response (CR) and partial response (PR) as per RECIST 1.1 in biological treatment-naïve patients with acral lentiginous melanoma treated with pembrolizumab    ,NCT02875132
Melanoma,Phase II Study of Cobimetinib in Combination With Vemurafenib in Active Melanoma Brain Metastases, The purpose of this study is to evaluate the effectiveness of the combination of vemurafenib with cobimetinib in patients with active melanoma brain metastases.    ,NCT02230306
Melanoma,The BAMM Trial: BRAF Autophagy and MEK Inhibition in Metastatic Melanoma: A Phase I/2 Trial of Dabrafenib Trametinib and Hydroxychloroquine in Patients With Advanced BRAF Mutant Melanoma, The primary purpose of this study is to determine the maximum tolerated dose (MTD) and preliminary safety of hydroxychloroquine (HCQ) when administered in conjunction with oral dabrafenib and trametinib (D+T) in patients with advanced BRAF mutant melanoma.    ,NCT02257424
Melanoma,A Multi-National Prospective Observational Study in Patients With Unresectable or Metastatic Melanoma, The purpose of this study is to examine the safety of Ipilimumab and patterns of use in the treatment of unresectable or metastatic melanoma in the post-approval setting.    ,NCT01511913
