Disease,Title,Abstract,NCT_ID
Prostate Cancer,AZD8186 First Time In Patient Ascending Dose Study, This is a phase I open-label multicentre study of AZD8186 administered orally in patients with advanced castrate-resistant prostate cancer (CRPC) squamous non-small cell lung cancer (sqNSCLC) triple negative breast cancer (TNBC) and known PTEN-deficient/mutated or PIK3CB mutated/amplified advanced solid malignancies as monotherapy and in combination with abiraterone acetate or AZD2014.    ,NCT01884285
Prostate Cancer,Effectiveness and Safety of Firmagon® in Androgen Ablative Therapy of Advanced Hormone-dependent Prostate Carcinoma in Argentina, Prospective observational study to collect and analyze data on patients with advanced hormone dependent prostate cancer treated with Firmagon® according to routine medical practice in Argentina    ,NCT01861236
Prostate Cancer,Real-life Data of Cardiovascular Events Occuring During Degarelix Therapy for Prostate Cancer, Patients with prostate cancer and a history of cardiovascular disease treated with degarelix for their prostate cancer will be followed for a period of one year. In this real-life non-interventional trial any cardiovascular events occurring during degarelix therapy will be documented.    ,NCT02229253
Prostate Cancer,Study to Assess Safety and Tolerability of AZD2171 After Multiple Doses in Patients With Advanced Prostate Cancer, A study to assess safety and tolerability of AZD2171 after multiple doses in patients with advanced prostate cancer.    ,NCT00502164
Prostate Cancer,Evaluation of Prostate-Specific Antigen (PSA) Levels in Patients With Advanced Prostate Cancer Treated With Bicalutamide, Prospective non-comparative non-interventional observational study to collect and analyse real life environment data on advanced prostate cancer patients receiving combination treatment of medical or surgical castration and bicalutamide according to routine medical practice in Croatia. The main aim is to evaluate change of PSA level and prescribing practices based on prostate cancer stage.    ,NCT00871585
Prostate Cancer,Lucrin® Depot Efficacy and Safety Monitoring Study in Patients With Advanced Prostate Cancer and Lower Urinary Tract Symptoms (LUTS), The purpose of the study is to determine the influence of GnRH (gonadotropin releasing hormone) analogue - Lucrin Depot 11.25 mg (Lucrin Depot 3.75mg - in Ukraine) administration on intensity of lower urinary tract symptoms (LUTS) in patients with diagnosed locally advanced and/or metastatic prostate cancer and LUTS.    ,NCT01078545
Prostate Cancer,Prostate Cancer Androgen Deprivation Withdrawal and Intermittent Chemotherapy, The study includes the recruitment of patients with advanced prostate cancer resistant to chemical castration This is a multicenter prospective trial randomized phase III    ,NCT01224405
Prostate Cancer,A Registry of Sipuleucel-T Therapy in Men With Advanced Prostate Cancer, The purpose of this study is to further quantify the risk of cerebrovascular events (CVEs) following sipuleucel-T (PROVENGE®) therapy and to follow all subjects for survival.    ,NCT01306890
Prostate Cancer,A Long-term Observational Study Cohort in Patients With Advanced Prostate Cancer, The purpose of the protocol is to assess the rate of castration resistance disease progression and overall survival over a 3-year period post-androgen deprivation therapy (ADT) induction in a study cohort of patients with advanced disease.    ,NCT01383863
Prostate Cancer,Cabazitaxel and BKM120 in Patients With Metastatic Castrate-Resistant Prostate Cancer (mCRPC) Previously Treated With Docetaxel, Although there have been advances in the treatment of patients with metastatic castrate-resistant prostate cancer (mCRPC) all patients eventually develop resistance to available therapy. Docetaxel is the accepted first-line agent followed by cabazitaxel in the post-docetaxel phase. In this study the investigators propose to evaluate BKM120 a PI3K inhibitor with cabazitaxel in the treatment of patients with advanced prostate cancer.    ,NCT02035124
Prostate Cancer,Therapy Pathways in the Treatment of Hormone Naïve Prostate Cancer Patients With and Without Comorbidities Treated With Degarelix or Luteinizing-Hormon-Releasing-Hormon (LHRH) Agonists., The purpose of this study is to detect factors influencing decision making for treatment pathways of hormone-naïve prostate cancer patients with and without comorbidities receiving medicinal androgen deprivation therapy (Degarelix or LHRH agonists).    ,NCT02234089
Prostate Cancer,Evaluation of PSMA-based PET as an Imaging Biomarker in Prostate Cancer, This research is being done to see if an investigational radioactive imaging agent (radiotracer) called 18F-DCFPyL can help us find prostate cancer at its original site in the prostate gland and in distant sites (bone lymph nodes) in men diagnosed with prostate cancer before surgery.    ,NCT02420977
